id,time,count,name
501,2020-06-24 10:23:19.957551+00,2,Aktiiviset
502,2020-06-24 10:23:25.738976+00,3,Aktiiviset
503,2020-06-24 10:23:34.90504+00,4,Aktiiviset
504,2020-06-24 10:23:47.007713+00,3,Aktiiviset
505,2020-06-24 10:23:48.049441+00,2,Aktiiviset
506,2020-06-24 10:24:00.410711+00,1,Aktiiviset
507,2020-06-24 10:24:15.04641+00,2,Aktiiviset
508,2020-06-24 10:24:26.629203+00,15,Alueella
509,2020-06-24 10:24:27.034704+00,16,Alueella
510,2020-06-24 10:24:58.801664+00,17,Alueella
511,2020-06-24 10:24:59.280142+00,18,Alueella
512,2020-06-24 10:25:13.195131+00,3,Aktiiviset
513,2020-06-24 10:25:39.197813+00,2,Aktiiviset
514,2020-06-24 10:25:48.646282+00,1,Aktiiviset
515,2020-06-24 10:25:54.69547+00,2,Aktiiviset
516,2020-06-24 10:25:55.066396+00,3,Aktiiviset
517,2020-06-24 10:26:06.87878+00,17,Alueella
518,2020-06-24 10:26:11.315652+00,4,Aktiiviset
519,2020-06-24 10:26:27.377755+00,18,Alueella
520,2020-06-24 10:26:31.480493+00,3,Aktiiviset
521,2020-06-24 10:26:31.916866+00,2,Aktiiviset
522,2020-06-24 10:26:32.487891+00,1,Aktiiviset
523,2020-06-24 10:26:58.410757+00,2,Aktiiviset
524,2020-06-24 10:26:58.839057+00,19,Alueella
525,2020-06-24 10:26:59.185801+00,18,Alueella
526,2020-06-24 10:26:59.634303+00,17,Alueella
527,2020-06-24 10:27:00.250326+00,16,Alueella
528,2020-06-24 10:27:29.949715+00,3,Aktiiviset
529,2020-06-24 10:27:35.647082+00,2,Aktiiviset
530,2020-06-24 10:27:36.677439+00,17,Alueella
531,2020-06-24 10:27:44.889106+00,3,Aktiiviset
532,2020-06-24 10:27:56.315695+00,4,Aktiiviset
533,2020-06-24 10:28:03.933527+00,3,Aktiiviset
534,2020-06-24 10:28:04.75822+00,2,Aktiiviset
535,2020-06-24 10:28:07.350754+00,18,Alueella
536,2020-06-24 10:28:07.63298+00,19,Alueella
537,2020-06-24 10:28:08.325356+00,20,Alueella
538,2020-06-24 10:28:11.681868+00,3,Aktiiviset
539,2020-06-24 10:28:21.718894+00,2,Aktiiviset
540,2020-06-24 10:28:27.820325+00,1,Aktiiviset
541,2020-06-24 10:28:31.536008+00,0,Aktiiviset
542,2020-06-24 10:28:53.082004+00,1,Aktiiviset
543,2020-06-24 10:28:54.568328+00,2,Aktiiviset
544,2020-06-24 10:28:57.426725+00,3,Aktiiviset
545,2020-06-24 10:28:59.247212+00,19,Alueella
546,2020-06-24 10:28:59.541556+00,18,Alueella
547,2020-06-24 10:29:00.222251+00,17,Alueella
548,2020-06-24 10:29:00.720181+00,16,Alueella
549,2020-06-24 10:29:29.698126+00,15,Alueella
550,2020-06-24 10:29:30.019816+00,4,Aktiiviset
551,2020-06-24 10:29:30.199958+00,14,Alueella
552,2020-06-24 10:29:35.702733+00,3,Aktiiviset
553,2020-06-24 10:29:36.199812+00,2,Aktiiviset
554,2020-06-24 10:29:41.943104+00,1,Aktiiviset
555,2020-06-24 10:29:48.567264+00,15,Alueella
556,2020-06-24 10:29:53.823442+00,0,Aktiiviset
557,2020-06-24 10:30:07.883695+00,1,Aktiiviset
558,2020-06-24 10:30:11.819614+00,2,Aktiiviset
559,2020-06-24 10:30:12.912881+00,3,Aktiiviset
560,2020-06-24 10:30:13.891972+00,4,Aktiiviset
561,2020-06-24 10:30:18.293926+00,5,Aktiiviset
562,2020-06-24 10:30:25.463088+00,14,Alueella
563,2020-06-24 10:30:26.867715+00,4,Aktiiviset
564,2020-06-24 10:30:28.769001+00,3,Aktiiviset
565,2020-06-24 10:30:31.093948+00,2,Aktiiviset
566,2020-06-24 10:30:49.493155+00,1,Aktiiviset
567,2020-06-24 10:31:03.418664+00,13,Alueella
568,2020-06-24 10:31:10.336766+00,2,Aktiiviset
569,2020-06-24 10:31:10.591531+00,3,Aktiiviset
570,2020-06-24 10:31:13.867933+00,2,Aktiiviset
571,2020-06-24 10:31:37.638604+00,1,Aktiiviset
572,2020-06-24 10:31:40.262454+00,0,Aktiiviset
573,2020-06-24 10:32:03.306887+00,14,Alueella
574,2020-06-24 10:32:30.238827+00,1,Aktiiviset
575,2020-06-24 10:32:32.168836+00,2,Aktiiviset
576,2020-06-24 10:32:49.081683+00,1,Aktiiviset
577,2020-06-24 10:32:49.368846+00,15,Alueella
578,2020-06-24 10:33:01.255471+00,2,Aktiiviset
579,2020-06-24 10:33:27.611087+00,3,Aktiiviset
580,2020-06-24 10:33:44.81334+00,14,Alueella
581,2020-06-24 10:34:05.227962+00,15,Alueella
582,2020-06-24 10:34:05.644673+00,16,Alueella
583,2020-06-24 10:34:07.008478+00,2,Aktiiviset
584,2020-06-24 10:34:13.363696+00,1,Aktiiviset
585,2020-06-24 10:34:28.518473+00,15,Alueella
586,2020-06-24 10:34:31.972663+00,2,Aktiiviset
587,2020-06-24 10:34:39.102432+00,16,Alueella
588,2020-06-24 10:34:49.282303+00,3,Aktiiviset
589,2020-06-24 10:35:14.829372+00,2,Aktiiviset
590,2020-06-24 10:35:17.851367+00,1,Aktiiviset
591,2020-06-24 10:35:25.176387+00,2,Aktiiviset
592,2020-06-24 10:35:31.834763+00,1,Aktiiviset
593,2020-06-24 10:35:47.548014+00,2,Aktiiviset
594,2020-06-24 10:35:49.6644+00,3,Aktiiviset
595,2020-06-24 10:35:51.226958+00,15,Alueella
596,2020-06-24 10:35:51.662549+00,14,Alueella
597,2020-06-24 10:35:56.269217+00,4,Aktiiviset
598,2020-06-24 10:35:59.822644+00,15,Alueella
599,2020-06-24 10:36:00.28565+00,16,Alueella
600,2020-06-24 10:36:03.898901+00,3,Aktiiviset
601,2020-06-24 10:36:09.729431+00,2,Aktiiviset
602,2020-06-24 10:36:15.177486+00,1,Aktiiviset
603,2020-06-24 10:36:37.562942+00,0,Aktiiviset
604,2020-06-24 10:36:49.818314+00,1,Aktiiviset
605,2020-06-24 10:37:12.329237+00,2,Aktiiviset
606,2020-06-24 10:37:31.067033+00,3,Aktiiviset
607,2020-06-24 10:37:38.04156+00,4,Aktiiviset
608,2020-06-24 10:37:38.910773+00,5,Aktiiviset
609,2020-06-24 10:37:48.558585+00,4,Aktiiviset
610,2020-06-24 10:38:09.769992+00,15,Alueella
611,2020-06-24 10:38:21.556569+00,3,Aktiiviset
612,2020-06-24 10:38:24.987606+00,2,Aktiiviset
